,Number,Name_of_Covered_Entity,Industry_Type,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
542,541,"Bruce G. Peller, DMD, PA",Healthcare,NC,,9953,22/04/2012,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,22/04/2012,NA,2012
543,542,"Sharon L. Rogers, Ph.D., ABPP",Healthcare,TX,,585,16/06/2012,Theft,Laptop,23/01/2014,,16/06/2012,NA,2012
544,543,Health Texas Provider Network - Cardiovascular Consultants of North Texas,Healthcare,TX,,2462,05/11/2012,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,16/03/2012,11/05/2012,2012
545,544,SwedishAmerican Health System,Healthcare,IL,,1500,31/05/2012,Theft,Paper,24/03/2014,,31/05/2012,NA,2012
546,545,River Arch Dental,Dental,CA,"Patterson Dental, Inc.",2533,05/12/2012,Loss,Other Portable Electronic Device,23/01/2014,,12/05/2012,NA,2012
547,546,Hamner Square Dental ,Dental,CA,"Patterson Dental, Inc",1112,05/12/2012,Theft,Other Portable Electronic Device,23/01/2014,,12/05/2012,NA,2012
548,547,Visiting Nurse Services of Iowa,Healthcare,IA,,1298,27/05/2012,Theft,Paper,23/01/2014,,27/05/2012,NA,2012
549,548,Molalla Family Dental,Dental,OR,,4354,17/05/2012,Unauthorized Access/Disclosure,Network Server,23/01/2014,,17/05/2012,NA,2012
550,549,Pamlico Medical Equipment LLC,Healthcare,NC,,2917,16/05/2012,Loss,Other Portable Electronic Device,23/01/2014,,16/05/2012,NA,2012
551,550,Beth Israel Deaconess Medical Center,Healthcare,MA,,3900,22/05/2012,Theft,Laptop,23/01/2014,,22/05/2012,NA,2012
552,551,NYU School of Medicine Faculty Group Practice,Healthcare,NY,,8488,22/05/2012,Theft,Desktop Computer,23/01/2014,,22/05/2012,NA,2012
553,552,"Adult & Child Center, Inc.",Healthcare,IN,"Choices, Inc.",550,05/10/2012,Hacking/IT Incident,Other,23/01/2014,,10/05/2012,NA,2012
554,553,"The Surgeons of Lake County, LLC",Healthcare,IL,,7067,06/12/2012,Other,Network Server,23/01/2014,,22/06/2012,25/06/2012,2012
555,554,Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,Healthcare,IN,,1504,06/04/2012,Theft,Other,23/01/2014,,01/06/2012,04/06/2012,2012
556,555,Jeffrey Paul Edelstein M.D.,Healthcare,AZ,,4800,28/05/2012,Theft,Network Server,23/01/2014,,28/05/2012,NA,2012
557,556,Northwestern Memorial Hospital,Healthcare,IL,,4211,06/11/2012,Theft,Laptop,23/01/2014,,11/06/2012,NA,2012
558,557,Walgreen Co.,Pharmacy,IL,,1240,07/05/2012,Theft,Paper,23/01/2014,,05/07/2012,NA,2012
559,558,VNA HealthCare,Healthcare,CT,EMC,7461,25/06/2012,Theft,Laptop,19/02/2014,,25/06/2012,NA,2012
560,559,Hartford Hospital,Healthcare,CT,EMC,2097,25/06/2012,Theft,Laptop,23/04/2014,,25/06/2012,NA,2012
561,560,Diversified Support Services,Healthcare,IN,"Choices, Inc.",505,05/10/2012,Hacking/IT Incident,Other,23/01/2014,,10/05/2012,NA,2012
562,561,Oregon Health & Science University,Healthcare,OR,,702,07/04/2012,Theft,Other,23/01/2014,,04/07/2012,NA,2012
563,562,Stanford Hospital & Clinics and School of Medicine,Healthcare,CA,,2300,15/07/2012,Theft,Desktop Computer,23/01/2014,,15/07/2012,16/07/2012,2012
564,563,Midtown Mental Health Center,Healthcare,IN,"CHOICES, Inc",890,05/10/2012,Hacking/IT Incident,Other,23/01/2014,,10/05/2012,NA,2012
566,565,Howard University Hospital,Healthcare,DC,"Siemens Medical Solutions, USA",66601,25/01/2012,Theft,Laptop,23/01/2014,,25/01/2012,NA,2012
567,566,TEMPLE COMMUNITY HOSPITAL,Healthcare,CA,,603,07/03/2012,Theft,Desktop Computer,23/01/2014,,03/07/2012,NA,2012
569,568,"Liberty Resources, Inc.",Healthcare,PA,,3183,08/04/2012,Theft,Laptop,24/06/2014,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





",04/08/2012,NA,2012
570,569,The University of Texas MD Anderson Cancer Center,Education,TX,,2264,13/07/2012,Loss,Other Portable Electronic Device,23/01/2014,,13/07/2012,NA,2012
571,570,Central States Southeast and Siouthwest Areas Health & Welfare Fund,Healthcare,IL,,754,31/07/2012,Unauthorized Access/Disclosure,Paper,23/01/2014,,31/07/2012,NA,2012
572,571,LANA MEDICAL CARE,Healthcare,FL,,500,18/08/2012,Theft,Laptop,23/01/2014,,18/08/2012,NA,2012
573,572,"Cancer Care Group, P.C.",Healthcare,IN,,55000,19/07/2012,Theft,Other Portable Electronic Device,24/03/2014,,19/07/2012,NA,2012
574,573,Tricounty Behavioral Health Clinic,Healthcare,GA,,4000,26/08/2012,Theft,Laptop,23/01/2014,,26/08/2012,NA,2012
576,575,"Charlotte Clark-Neitzel, MD",Healthcare,WA,,942,24/07/2012,Theft,Laptop,23/01/2014,,24/07/2012,NA,2012
577,576,University of Miami,Education,FL,,64846,18/07/2012,Unauthorized Access/Disclosure,Paper,23/01/2014,,18/07/2012,NA,2012
578,577,University of New Mexico Health Sciences Center,Healthcare,NM,,2365,21/05/2012,Hacking/IT Incident,Network Server,23/01/2014,,21/05/2012,NA,2012
579,578,"Valley Plastic Surgery, P.C.",Healthcare,VA,,4873,15/07/2012,Theft,Other Portable Electronic Device,24/03/2014,,15/07/2012,NA,2012
580,579,Colon & Digestive Health Specialists,Healthcare,AR,"Ecco Health, LLC",5713,16/07/2012,Loss,Other Portable Electronic Device,23/01/2014,,16/07/2012,NA,2012
581,580,"BHcare, Inc",Healthcare,CT,,5827,19/07/2012,Theft,Laptop,19/02/2014,,19/07/2012,NA,2012
582,581,The Feinstein Institute for Medical Research,Healthcare,NY,,13000,09/02/2012,Theft,Laptop,23/01/2014,,02/09/2012,NA,2012
583,582,"St. Therese Medical Group, Inc",Healthcare,CA,,3031,22/07/2012,Theft,Desktop Computer,23/01/2014,,22/07/2012,NA,2012
584,583,"Cabinet for Health and Family Services, Department for Community Based Services (Protection and Permanency)",Healthcare,KY,,2500,20/07/2012,Unauthorized Access/Disclosure,E-mail,23/01/2014,,20/07/2012,NA,2012
585,584,"Litton & Giddings Radiological Associates, P.C.",Healthcare,MO,"PST Services, Inc",13074,08/02/2012,Improper Disposal,Paper,23/01/2014,,31/07/2012,02/08/2012,2012
586,585,"Apria Healthcare, Inc.",Healthcare,CA,,65700,14/06/2012,Theft,Laptop,23/01/2014,,14/06/2012,NA,2012
587,586,"Alexander J. Tikhtman, M.D.",Healthcare,KY,,2376,15/08/2012,Loss,Other Portable Electronic Device,23/01/2014,,15/08/2012,NA,2012
588,587,Gulf Coast Health Care Services Inc,Healthcare,FL,,13000,17/08/2012,Theft,Network Server,23/01/2014,,17/08/2012,NA,2012
589,588,"Blount Memorial Hospital, Inc",Healthcare,TN,,27799,25/08/2012,Theft,Laptop,23/01/2014,,25/08/2012,NA,2012
590,589,"Alere Home Monitoring, Inc",Healthcare,CA,,116506,23/09/2012,Theft,Laptop,23/01/2014,,23/09/2012,NA,2012
591,590,"Coastal home Respiratory, LLP",Healthcare,GA,,3440,10/04/2012,Theft,Other,23/01/2014,,04/10/2012,NA,2012
592,591," Philip P Corneliuson, DDS, INC.",Dental,CA,,980,15/09/2012,Theft,Desktop Computer,23/01/2014,,15/09/2012,NA,2012
594,593,"Logan Community Resources, Inc.",Community Services,IN,,2900,24/08/2012,Hacking/IT Incident,Network Server,23/01/2014,,24/08/2012,NA,2012
595,594,"David DiGiallorenzo, D.M.D.",Healthcare,PA,,2600,17/09/2012,Unauthorized Access/Disclosure,Network Server,23/01/2014,,17/09/2012,NA,2012
596,595,CVS Caremark,Retail,RI,,955,13/08/2012,Theft,Paper,23/01/2014,,13/08/2012,NA,2012
597,596,Memorial Hospital,Healthcare,OH,,500,29/08/2012,Improper Disposal,Paper,24/03/2014,,29/08/2012,NA,2012
598,597,"SURGICAL ASSOCIATES OF UTICA, PC",Healthcare,NY,QUANTERION SOLUTIONS INC,1017,18/09/2012,Theft,Network Server,20/06/2014,"An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 



",18/09/2012,NA,2012
599,598,Illinois Department of Healthcare and Family Services,Healthcare,IL,"University of Illinois, College of Nursing",508,31/08/2012,Theft,Paper,24/03/2014,,31/08/2012,NA,2012
600,599,Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,Healthcare,FL,,2560,09/12/2012,Theft,Electronic Medical Record,23/01/2014,,01/01/2012,12/09/2012,2012
602,601,Women & Infants Hospital of Rhode Island,Healthcare,RI,,14004,13/09/2012,Loss,Other,23/01/2014,,13/09/2012,NA,2012
603,602,Memorial Health System,Healthcare,CO,,6262,05/01/2012,Loss,Paper,23/01/2014,,01/05/2012,NA,2012
604,603,CHRISTUS St. John Hospital,Healthcare,TX,,5748,25/09/2012,Loss,Other Portable Electronic Device,23/01/2014,,25/09/2012,NA,2012
605,604,L.A. Care Health Plan,Healthcare,CA,,18000,09/07/2012,Other,Other,23/01/2014,,17/09/2012,20/09/2012,2012
606,605,"Hawaii State Department of Health, Adult Mental Health Division",Healthcare,HI,,674,25/09/2012,Hacking/IT Incident,Desktop Computer,23/01/2014,,25/09/2012,NA,2012
607,606,"Soundental Associates, PC",Dental,CT,,14511,24/09/2012,Theft,Other Portable Electronic Device,19/02/2014,,24/09/2012,NA,2012
608,607,"Original Medicine Acupuncture & Wellness, LLC",Healthcare,NM,,540,09/07/2012,Theft,Laptop,23/01/2014,,07/09/2012,09/09/2012,2012
609,608,Brigham and Women's Hospital,Healthcare,MA,,615,16/10/2012,Theft,Desktop Computer,23/01/2014,,16/10/2012,NA,2012
610,609,"St. Francis Health Network, aka Franciscan Alliance ACO",Healthcare,IN,"Advantage Health Solutions, Inc.",2575,19/10/2012,Other,Other,23/01/2014,,19/10/2012,NA,2012
611,610,"James M. McGee, D.M.D., P.C.",Healthcare,GA,,1306,19/09/2012,Theft,Paper,23/01/2014,,19/09/2012,26/09/2012,2012
612,611,Robbins Eye Center PC,Healthcare,CT,,1749,10/07/2012,Theft,Desktop Computer,23/01/2014,,07/10/2012,NA,2012
613,612,"Advanced Data Processing, Inc.",Technology,FL,,10000,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
614,613,Cuyahoga County Board of Developmental Disabilities,Government,OH,,613,11/02/2012,Theft,Laptop,24/03/2014,,02/11/2012,NA,2012
615,614,Okaloosa County Public Safety,Government,FL,"Advanced Data Processing, Inc.",715,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
616,615,City of Covington Kentucky Fire Department ,Government,KY,Advanced Data Processing Inc,1548,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
617,616,Northern Trust,Consulting/Finance,IL,Blue Cross Blue Shield,500,13/09/2012,Unauthorized Access/Disclosure,Network Server,24/03/2014,,13/09/2012,NA,2012
618,617,Vidant Pungo Hospital,Healthcare,NC,,1100,10/04/2012,Improper Disposal,Paper,23/01/2014,,04/10/2012,NA,2012
619,618,County of San Bernardino Department of Public Heatlh,Government,CA,,1370,30/09/2012,Unauthorized Access/Disclosure,Paper,23/01/2014,,28/09/2012,30/09/2012,2012
620,619,City of Overland Park Fire Department,Government,FL,"Advanced Data Processing, Inc.",911,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
621,620,Sumner County Emergency Medical Services,Healthcare,TN,"Advanced Data Processing, Inc",774,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
622,621,City of El Centro Fire Department,Government,CA,ADPI-West,1500,10/01/2012,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,01/10/2012,NA,2012
623,622,Landmark Medical Center,Healthcare,RI,,683,10/01/2012,Theft,Laptop,23/01/2014,,01/10/2012,NA,2012
624,623,City of Atlanta/ Atlanta Fire Rescue Department,Government,GA,Advanced Data Processing Inc.,908,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
625,624,University of Virginia Medical Center,Healthcare,VA,,1846,10/05/2012,Loss,Other Portable Electronic Device,14/02/2014,,05/10/2012,NA,2012
626,625,Osceola County EMS ,Government,FL,Advanced Data Processing Inc,949,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
627,626,Carolinas Medical Center - Randolph,Healthcare,NC,,5600,03/11/2012,Hacking/IT Incident,E-mail,23/01/2014,,11/03/2012,08/10/2012,2012
629,628,"CCS Medical, Inc.",Healthcare,TX,,6601,05/01/2012,Unauthorized Access/Disclosure,Network Server,23/01/2014,,01/05/2012,21/09/2012,2012
630,629,"City of Gloucester, Fire Department",Government,MA,"Advanced  Data Processing, Inc.",1286,10/01/2012,Theft,Desktop Computer,23/01/2014,,15/06/2012,01/10/2012,2012
631,630,Columbia University Medical Center and NewYork-Presbyterian Hospital,Healthcare,NY,,4929,15/10/2012,Theft,Desktop Computer,23/01/2014,,12/10/2012,15/10/2012,2012
632,631,Baptist Health System,Healthcare,AR,Health Advantage,811,10/03/2012,Other,Paper,23/01/2014,,13/10/2012,27/10/2012,2012
633,632,"DFA, Employee Benefits Division",Vision Care,AR,Health Advantage,7039,10/10/2012,Other,Paper,23/01/2014,,13/10/2012,27/10/2012,2012
634,633,Health Advantage,Healthcare,AR,,2863,10/04/2012,Other,Paper,23/01/2014,,13/10/2012,27/10/2012,2012
635,634,University of Michigan Health System,Healthcare,MI,"Omnicell, Inc.",3999,14/11/2012,Theft,Laptop,23/01/2014,,14/11/2012,NA,2012
636,635,Westerville Dental Center,Dental,OH,,850,12/02/2012,Theft,Laptop,23/01/2014,,02/12/2012,NA,2012
637,636,"OHP PHSP, Inc.",Healthcare,NY,"HealthPlus, Amerigroup",28187,31/08/2012,Unauthorized Access/Disclosure,Other,23/01/2014,,31/08/2012,21/09/2012,2012
638,637,"Center for Orthopedic Research and Education, Inc.",Education,AZ,,35488,21/10/2012,Theft,Paper,23/04/2014,,20/10/2012,21/10/2012,2012
639,638,Calif. Dept. of Health Care Services (DHCS),Healthcare,CA,,2643,12/10/2012,Unauthorized Access/Disclosure,Other,23/01/2014,,10/12/2012,18/12/2012,2012
641,640,Gibson General Hospital,Healthcare,IN,,28893,27/11/2012,Theft,Laptop,24/03/2014,,27/11/2012,NA,2012
642,641,"Sovereign Medical Group, LLC",Healthcare,NJ,,27800,10/10/2012,Hacking/IT Incident,Network Server,23/01/2014,,10/10/2012,NA,2012
643,642,"Cabinet for Health & Family Services, Department of Medicaid Services",Healthcare,KY,HP Enterprise Services,1090,15/11/2012,Hacking/IT Incident,Laptop,23/01/2014,,15/11/2012,NA,2012
644,643,"Harbor Medical Associates, P.C.",Healthcare,MA,"Clearpoint Design, Inc.",4343,10/10/2012,Hacking/IT Incident,Network Server,23/01/2014,,18/10/2012,04/11/2012,2012
645,644,Sentara Healthcare,Healthcare,VA,"Omnicell, Inc.",56820,14/11/2012,Theft,Laptop,14/02/2014,,14/11/2012,NA,2012
646,645,St. Mark's Medical Center,Healthcare,TX,,2988,21/05/2012,Hacking/IT Incident,Desktop Computer,23/01/2014,,21/05/2012,NA,2012
647,646,Group Health Incorporated,Healthcare,NY,,1771,13/11/2012,Theft,Paper,20/06/2014,"OCR opened an investigation of the covered entity (CE), Group Health Insurance, after it reported that postcard reminders were sent to 1,771 subscribers.  The protected health information (PHI) involved included social security numbers within a series of other numbers inscribed on the outside of the postcard.   The CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  Upon discovery of the breach, the CE suspended its mailing in order to verify subscriber information to ensure pending and completed projects did not contain social security numbers.  As a result of OCR's investigation, the CE modified its mailing procedures to prevent similar disclosures from recurring in the future and retrained staff on its modified mailing procedure.  The CE provided affected individuals with a free one year subscription for credit monitoring.



",13/11/2012,NA,2012
648,647,"Calvin Schuster,MD",Healthcare,CA,,532,11/04/2012,Theft,Desktop Computer,23/01/2014,,04/11/2012,NA,2012
650,649,University of Nevada School of Medicine,Education,NV,,1483,10/11/2012,Improper Disposal,Paper,23/01/2014,,11/10/2012,NA,2012
651,650,Dimensions Healthcare System,Healthcare,MD,WorkflowOne,635,16/11/2012,Unauthorized Access/Disclosure,Paper,25/03/2014,,16/11/2012,NA,2012
652,651,SilverScript Insurance Company,Insurance,AZ,,852,31/10/2012,Unauthorized Access/Disclosure,Paper,23/01/2014,,31/10/2012,NA,2012
653,652,South Jersey Hospital Inc.,Healthcare,NJ,Omnicell Inc.,8555,14/11/2012,Theft,Laptop,23/01/2014,,14/11/2012,NA,2012
654,653,"Child & Family Psychological Services, Inc.",Mental Health,MA,"Clearpoint Design, Inc.",7250,18/10/2012,Hacking/IT Incident,Network Server,23/01/2014,,18/10/2012,29/10/2012,2012
655,654,Pousson Family Dentistry,Healthcare,LA,,1400,12/03/2012,Theft,Laptop,23/01/2014,,03/12/2012,NA,2012
657,656,"Lee D. Pollan, DMD, PC",Healthcare,NY,,19178,11/06/2012,Theft,Laptop,28/05/2014,"OCR opened an investigation of the covered entity (CE) after it reported an unencrypted laptop was stolen that contained the electronic protected health information (ePHI) of 19,178 individuals.  The ePHI included names, addresses, zip codes, dates of birth, social security numbers, claims information, and diagnosis codes.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE encrypted the backup drive of the contents of the laptop computer.  The CE also trained all staff on the use of encryption to safeguard data on personal computers and mobile devices.",06/11/2012,15/11/2012,2012
658,657,Washington University School of Medicine,Education,MO,,1105,28/11/2012,Theft,Laptop,23/01/2014,,28/11/2012,NA,2012
659,658,Riderwood Village,Healthcare,MD,,3230,18/11/2012,Theft,Laptop,23/01/2014,,18/11/2012,NA,2012
660,659,WAYNE MEMORIAL HOSPITAL,Healthcare,PA,,1184,12/03/2012,Loss,Other,24/03/2014,,03/12/2012,NA,2012
662,661,Baillie Lumber Co. Group Health Plan,Healthcare,NY,BlueCross BlueShield of Western New York,725,27/11/2012,Theft,Paper,20/06/2014,"OCR opened an investigation of the covered entity (CE), Baillie Lumber Co. Group Health Plan, after it reported its business associate (BA), Blue Cross Blue Shield, mailed a monthly premium notice with invoices that contained the protected health information (PHI) of 725 individuals which was never received by the CE.  The PHI included names, member identification numbers, and social security numbers.  The CE provided breach notification to HHS and affected individuals.  Upon discovery of the breach, the BA contacted the U.S. Post Office to inquire about the package that contained the invoices that the CE never received.  As a result of OCR's investigation, the BA revised its invoice process and removed social security numbers and member identification numbers from its invoices.  The BA also improved safeguards by changing its mailing procedures to send invoices to the CE via secure email.  The breach involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",27/11/2012,NA,2012
663,662,The University of Texas MD Anderson Cancer Center,Education,TX,,29021,30/04/2012,Theft,Laptop,23/01/2014,,30/04/2012,NA,2012
664,663,"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",Healthcare,WI,,2400,30/05/2012,Theft,Paper,24/03/2014,,30/05/2012,31/08/2012,2012
665,664,Boy Scouts of America Employee Benefit Plan,Non-Proft,TX,RR Donnelley (a sub-BA for UnitedHealth Group),8911,30/11/2012,Theft,Desktop Computer,23/01/2014,,15/09/2012,30/11/2012,2012
667,666,Community Services NW,Community Services,AL,,2400,12/06/2012,Theft,Desktop Computer,23/04/2014,,06/12/2012,NA,2012
668,667,American HomePatient Inc. ,Healthcare,TN,LifeGas,1103,10/11/2012,Theft,Laptop,23/01/2014,,11/10/2012,NA,2012
671,670,West Georgia Ambulance,Healthcare,GA,,500,13/12/2012,Loss,Laptop,23/01/2014,,13/12/2012,NA,2012
674,673,Froedtert Health,Healthcare,WI,,43549,27/10/2012,Unauthorized Access/Disclosure,Other,24/03/2014,,27/10/2012,13/12/2012,2012
676,675,Riderwood Village,Healthcare,MD,,5270,18/11/2012,Theft,Laptop,23/01/2014,,18/11/2012,NA,2012
677,676,"Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl",Healthcare,MA,,716,17/12/2013,Theft,Other Portable Electronic Device,23/01/2014,,15/12/2012,17/12/2012,2012
678,677,"HomeCare of Mid-Missouri, Inc.",Healthcare,MO,,4027,14/12/2012,Theft,Laptop,23/01/2014,,14/12/2012,NA,2012
680,679,Agency for Health Care Administration,Healthcare,FL,"DentaQuest of Florida, Inc.",1892,11/01/2012,Unauthorized Access/Disclosure,Paper,23/01/2014,,01/11/2012,20/12/2012,2012
681,680,ABQ HealthPartners,Healthcare,NM,,778,20/12/2012,Theft,Laptop,23/01/2014,,20/12/2012,NA,2012
682,681,Terrell County Health Department,Healthcare,GA,,18000,01/09/2012,Unauthorized Access/Disclosure,Network Server,23/01/2014,,09/01/2012,17/04/2012,2012
683,682,Florida Healthy Kids Corporation,Healthcare,FL,"DentaQuest of Florida, LLC",3667,11/01/2012,Unauthorized Access/Disclosure,Paper,23/01/2014,,01/11/2012,20/12/2012,2012
684,683,Stronghold Counseling Services Inc,Healthcare,SD,,8500,24/12/2012,Theft,Desktop Computer,23/01/2014,,24/12/2012,NA,2012
685,684,Arizona Oncology,Healthcare,AZ,,501,21/11/2012,Theft,Laptop,23/01/2014,,21/11/2012,NA,2012
686,685,Crescent Health Inc. - a Walgreens Company,Healthcare,CA,,109000,28/12/2012,Theft,Desktop Computer,23/01/2014,,28/12/2012,NA,2012
689,688,The Brookdale University Hospital and Medical Center,Healthcare,NY,Standard Register,2261,08/11/2012,Theft,Paper,20/06/2014,"OCR opened an investigation of the covered entity (CE), The Brookdale University Hospital and Medical Center, after it reported its business associate (BA), Standard Register, inadvertently mailed statements to 2,261 individuals using another affiliated CE's envelopes.  The protected health information (PHI) included names, addresses and financial information.  OCR provided technical assistance to the CE regarding safeguarding PHI.",11/08/2012,NA,2012
690,689,The Brookdale University Hospital and Medical Center,Healthcare,NY,Health Plus Amerigroup,28187,21/09/2012,Theft,Other Portable Electronic Device,20/06/2014,"The covered entity's (CE) business associate (BA), Health Plus Amerigroup, mailed an unencrypted compact disk that contained the electronic protected health information (ePHI) of 28,187 individuals to the CE, The Brookdale University Hospital and Medical Center.  OCR closed this breach report and consolidated into an existing breach report filed by OHP PHSP, Inc. regarding the same issues.",21/09/2012,NA,2012
691,690,"Ultra Stores, Inc.",Retail,IL,Plexus Group,500,13/09/2012,Unauthorized Access/Disclosure,Other,24/03/2014,,13/09/2012,NA,2012
695,694,"State of California, Dept. of Developmental Services",Government,CA,North Los Angeles County Regional Center ,18162,11/10/2012,Theft,Laptop,23/01/2014,,10/11/2012,NA,2012
705,704,Mount Sinai Medical Center,Healthcare,FL,,628,10/01/2012,Theft,Paper,23/01/2014,,01/10/2012,18/02/2013,2012
708,707,University of Mississippi Medical Center,Healthcare,MS,,500,11/01/2012,Loss,Laptop,23/01/2014,,01/11/2012,19/01/2013,2012
714,713,"Shands Jacksonville Medical Center, Inc.",Healthcare,FL,,1025,22/06/2012,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,02/05/2012,22/06/2012,2012
717,716,GLENS FALLS HOSPITAL,Healthcare,NY,PORTAL HEALTHCARE SOLUTIONS LLC,2360,11/02/2012,Theft,Network Server,03/06/2014,"The covered entity's (CE) business associate (BA) operated a server containing the electronic protected health information (ePHI) of 2,360 individuals that was vulnerable to access by unauthorized persons for over four months.  The ePHI included transcribed doctors' notes, which may have included medical diagnoses, clinical laboratory results, diagnostic imaging reports, emergency department records, and medication administration.  Upon discovery of the breach, the CE engaged a computer forensic expert to investigate the incident and terminated the BA agreement.  As a result of OCR's investigation, the CE ensured that its BA secured the server, verified that the server was no longer accessible from the Internet, and required the BA to return or destroy all of the CE's ePHI.",02/11/2012,14/03/2013,2012
720,719,Network Health Insurance Corporation,Healthcare,WI,TMG Health ,3794,27/02/2012,Unauthorized Access/Disclosure,Paper,24/03/2014,,27/02/2012,NA,2012
726,725,Hope Hospice,Healthcare,TX,,818,12/07/2012,Other,E-mail,23/01/2014,,27/12/2012,22/02/2013,2012
736,735,El Centro Regional Medical Center,Healthcare,CA,Digital Archive Management,189489,11/07/2012,Improper Disposal,Paper,23/01/2014,,07/11/2012,NA,2012
745,744,Lutheran Social Services of South Central Pennsylvania,Community Services,PA,,7803,06/01/2012,Hacking/IT Incident,Network Server,23/01/2014,,01/06/2012,07/03/2013,2012
752,751,University of Florida,Education,FL,,5875,04/11/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,01/02/2012,11/04/2013,2012
754,753,UMASSAmherst,Education,MA,,1670,22/10/2012,Hacking/IT Incident,Desktop Computer,23/01/2014,,22/10/2012,NA,2012
777,776,Long Beach Memorial Medical Center,Healthcare,CA,,2864,09/01/2012,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,01/09/2012,01/07/2013,2012
779,778,Sheet Metal Local 36 Welfare Fund,Healthcare,MO,People Resource Corporation,4560,08/01/2012,Unauthorized Access/Disclosure,Other,23/01/2014,,01/08/2012,08/07/2013,2012
845,844,Broward Health Medical Center,Healthcare,FL,,960,10/01/2012,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,01/10/2012,31/12/2012,2012
846,845,Sentara Healthcare,Healthcare,VA,,3645,07/11/2013,Theft,Electronic Medical Record,23/01/2014,,01/10/2012,11/07/2013,2012
870,869,Associated Urologists of North Carolina,Healthcare,NC,,7300,09/07/2012,Other,Other,23/01/2014,,17/09/2012,17/09/2013,2012
883,882,UPMC,Healthcare,PA,,1279,11/05/2012,Unauthorized Access/Disclosure,Electronic Medical Record,18/02/2014,,05/11/2012,06/11/2013,2012
948,947,Missouri Consolidated Health Care Plan,Healthcare,MO,"StayWell Health Management, LLC",10024,23/03/2012,Unauthorized Access/Disclosure,Network Server,12/03/2014,,23/03/2012,NA,2012
949,948,The Clorox Company Group Insurance Plan,Insurance,CA,"StayWell Health Management, LLC",520,16/04/2012,Unauthorized Access/Disclosure,Network Server,12/03/2014,,16/04/2012,NA,2012
950,949,Regents of the University of Minnesota,Education,MN,"StayWell Health Management, LLC",4786,29/03/2012,Unauthorized Access/Disclosure,Network Server,24/03/2014,,29/03/2012,NA,2012
952,951,"Nissan North America, Inc.",Automotive,TN,"StayWell Health Management, LLC",1511,05/08/2012,Unauthorized Access/Disclosure,Network Server,12/03/2014,,08/05/2012,NA,2012
969,968,Detroit Medical Center - Harper University Hospital,Healthcare,MI,,1087,09/07/2012,Unauthorized Access/Disclosure,Paper,06/05/2014,,07/09/2012,NA,2012
